STNNBR,SAMPNOfull,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2TMP,PH_TOT,PH_TOT_FLAG_W,PH_TMP,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,REFTMP,REFTMP_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,CCL4,CCL4_FLAG_W,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,CTDRAW,THETA,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
2,112,37,33RO20100308,      A13.5,1,12,11027,2,20100314,1533,-53.5,0.0695,2538,850.7,1.2998,34.7119,2,34.7113,2,195.8,2,196.3,2,101.53,2,31.99,2,0.0,2,2.23,2,0.416,2,0.205,2,0.081,2,2255.4,2,2350.7,2,1090.0,2,20.0,7.6005,2,25.0,,9,,9,,9,1.2997,2,,9,,9,,0.535,3,,9,,9,850.7,1.2542,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,111,38,33RO20100308,      A13.5,1,11,11707,2,20100314,1533,-53.5,0.0695,2538,951.6,1.1955,34.7099,2,34.7094,2,197.9,2,198.3,2,103.94,2,31.99,2,0.0,2,2.23,2,,5,,5,,5,2254.5,2,2352.5,2,1079.4,2,20.0,7.6001,2,25.0,,9,,9,,9,1.1957,2,,9,,9,,,5,,9,,9,951.6,1.1445,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,110,39,33RO20100308,      A13.5,1,10,11003,2,20100314,1533,-53.5,0.0695,2538,1050.6,1.0749,34.7071,2,34.7067,2,199.6,2,200.4,2,106.98,6,32.11,6,0.0,6,2.23,6,0.424,2,0.208,2,0.143,2,2255.0,2,,5,1095.9,2,20.0,7.6007,2,25.0,,9,,9,,9,1.075,2,,9,,9,,0.541,3,,9,,9,1050.6,1.0188,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,109,40,33RO20100308,      A13.5,1,9,11706,2,20100314,1533,-53.5,0.0695,2538,1150.5,0.9425,34.7026,2,34.7027,2,201.7,2,202.4,2,110.37,2,32.29,2,0.0,2,2.25,2,0.452,2,0.246,2,0.49,4,2256.7,2,2352.5,2,1088.8,2,20.0,7.6002,2,25.0,,9,,9,,9,0.9426,2,,9,,9,,0.618,3,,9,,9,1150.5,0.8813,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,108,41,33RO20100308,      A13.5,1,8,11033,2,20100314,1533,-53.5,0.0695,2538,1251.0,0.848,34.6993,2,34.699,2,203.1,2,203.7,2,112.46,6,32.36,6,0.0,6,2.26,6,0.456,2,0.224,2,0.0,2,2255.4,2,2351.2,2,1094.4,2,20.0,7.5997,2,25.0,,9,,9,,9,0.8475,2,,9,,9,,0.627,3,,9,,9,1251.0,0.7813,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,107,42,33RO20100308,      A13.5,1,7,11705,2,20100314,1533,-53.5,0.0695,2538,1401.4,0.7541,34.6962,2,34.6981,2,205.6,2,205.1,2,114.97,2,32.46,2,0.0,2,2.26,2,0.464,2,0.226,2,0.067,2,2256.4,2,2354.6,2,1057.5,3,20.0,7.599,2,25.0,,9,,9,,9,0.7536,2,,9,,9,,0.596,3,,9,,9,1401.4,0.6787,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,106,43,33RO20100308,      A13.5,1,6,11029,2,20100314,1533,-53.5,0.0695,2538,1600.3,0.6149,34.6917,2,34.6911,2,206.8,2,207.7,2,118.89,2,32.73,2,0.0,2,2.28,2,0.449,2,0.223,2,0.073,2,2258.1,2,2354.4,2,1101.8,2,20.0,7.5967,2,25.0,,9,,9,,9,0.6151,2,,9,,9,,0.618,3,,9,,9,1600.3,0.5279,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,105,44,33RO20100308,      A13.5,1,5,11704,2,20100314,1533,-53.5,0.0695,2538,1805.2,0.5034,34.6882,2,34.6892,2,209.3,2,209.3,2,123.14,6,32.82,6,0.0,6,2.29,6,0.437,6,0.207,6,0.027,6,2259.6,2,2355.5,2,1088.4,2,20.0,,5,,,9,,9,,9,0.5041,2,,9,,9,,0.596,3,,9,,9,1805.2,0.4038,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,104,45,33RO20100308,      A13.5,1,4,11030,2,20100314,1533,-53.5,0.0695,2538,2000.6,0.439,34.6857,2,34.688,2,210.7,2,209.2,6,124.02,6,32.91,6,0.0,6,2.3,6,0.434,2,0.209,2,0.089,2,2258.9,2,2355.8,2,1098.9,2,20.0,7.5966,2,25.0,,9,,9,,9,0.4388,2,,9,,9,,0.604,3,,9,,9,2000.6,0.3263,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
2,103,46,33RO20100308,      A13.5,1,3,11703,3,20100314,1533,-53.5,0.0695,2538,2200.1,0.3975,34.6837,2,34.6833,2,211.4,2,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,9,,9,0.3969,2,,9,,9,,,9,,9,,9,2200.1,0.2707,,,"['A13', 'A13.5', 'AJAX']",2010-03-08,2010-04-18,Bonnie
