,STNNBR,SAMPNO,Unnamed: 0,EXPOCODE,SECT_ID,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,POC,POC_FLAG_W,PON,PON_FLAG_W,CHLORA,CHLORA_FLAG_W,PPHYTN,PPHYTN_FLAG_W,THETA,DELHER,N2O,N2O_FLAG_W,woce_lines,startDate,endDate,source
37,2.0,35.0,38,096U20160426,       P15S,1.0,2035.0,2.0,20160504.0,1146.0,-66.333,-169.9982,3308,20.3,-1.503,34.071,2.0,34.0767,2.0,355.1,2.0,345.4,2.0,63.74,2.0,28.4,2.0,0.22,2.0,1.98,2.0,,9.0,,9.0,,9.0,2193.2,2.0,2303.6,2.0,7.6434,2.0,25.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,0.68,2.0,0.04,3.0,-1.5034,,,,['P15S'],2016-04-26,2016-06-22,Bonnie
38,2.0,34.0,39,096U20160426,       P15S,1.0,2034.0,2.0,20160504.0,1146.0,-66.333,-169.9982,3308,40.5,-1.491,34.07,2.0,34.0875,2.0,355.2,2.0,345.8,2.0,63.75,2.0,28.37,2.0,0.22,2.0,1.98,2.0,6.049,2.0,3.233,2.0,3.516,2.0,2195.5,2.0,2304.8,2.0,7.6423,2.0,25.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,0.68,2.0,0.04,3.0,-1.4919,,17.289,3.0,['P15S'],2016-04-26,2016-06-22,Bonnie
39,2.0,33.0,40,096U20160426,       P15S,1.0,2033.0,2.0,20160504.0,1146.0,-66.333,-169.9982,3308,65.0,-1.488,34.07,2.0,34.0942,2.0,354.6,2.0,345.7,2.0,63.75,2.0,28.39,2.0,0.22,2.0,1.98,2.0,6.098,6.0,3.241,6.0,3.581,6.0,2196.2,2.0,2305.4,2.0,7.6423,2.0,25.0,,9.0,,9.0,,9.0,,9.0,,23.55,6.0,5.94,6.0,0.71,2.0,-0.01,3.0,-1.4894,,17.0193,3.0,['P15S'],2016-04-26,2016-06-22,Bonnie
40,2.0,32.0,41,096U20160426,       P15S,1.0,2032.0,2.0,20160504.0,1146.0,-66.333,-169.9982,3308,90.5,-1.491,34.07,2.0,34.0911,2.0,354.6,2.0,345.9,2.0,63.72,2.0,28.35,2.0,0.22,2.0,1.98,2.0,6.036,2.0,3.226,2.0,3.583,2.0,2193.8,2.0,2304.7,2.0,7.6412,2.0,25.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,-1.493,,17.5021,3.0,['P15S'],2016-04-26,2016-06-22,Bonnie
41,2.0,31.0,42,096U20160426,       P15S,1.0,2031.0,2.0,20160504.0,1146.0,-66.333,-169.9982,3308,115.8,-1.369,34.098,2.0,34.3071,3.0,332.2,2.0,278.7,3.0,72.56,2.0,30.83,2.0,0.11,2.0,2.14,2.0,3.978,2.0,2.088,2.0,2.208,2.0,2220.6,2.0,2315.9,6.0,7.5977,2.0,25.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,0.42,2.0,0.04,3.0,-1.3717,,19.3284,3.0,['P15S'],2016-04-26,2016-06-22,Bonnie
42,2.0,30.0,43,096U20160426,       P15S,1.0,2030.0,2.0,20160504.0,1146.0,-66.333,-169.9982,3308,140.8,0.386,34.54,2.0,34.5626,2.0,226.4,2.0,213.0,2.0,83.87,2.0,32.56,2.0,0.02,4.0,2.25,2.0,1.731,2.0,0.9,2.0,0.901,2.0,2248.0,6.0,2333.1,6.0,7.5691,2.0,25.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,0.3804,,22.0761,3.0,['P15S'],2016-04-26,2016-06-22,Bonnie
43,2.0,29.0,44,096U20160426,       P15S,1.0,2029.0,2.0,20160504.0,1146.0,-66.333,-169.9982,3308,186.3,1.153,34.648,2.0,34.6514,2.0,202.2,2.0,194.2,2.0,88.12,2.0,32.64,2.0,0.01,4.0,2.26,2.0,1.013,2.0,0.523,2.0,0.462,2.0,2254.0,2.0,2340.2,2.0,7.5673,2.0,25.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.1443,,21.7219,3.0,['P15S'],2016-04-26,2016-06-22,Bonnie
44,2.0,28.0,45,096U20160426,       P15S,1.0,2028.0,2.0,20160504.0,1146.0,-66.333,-169.9982,3308,235.8,1.376,34.69,2.0,34.6915,2.0,198.7,2.0,191.4,2.0,90.59,2.0,32.31,2.0,0.01,4.0,2.24,2.0,0.71,2.0,0.357,2.0,0.306,2.0,2255.5,2.0,2344.0,2.0,7.5756,2.0,25.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.3645,,21.4286,3.0,['P15S'],2016-04-26,2016-06-22,Bonnie
45,2.0,27.0,46,096U20160426,       P15S,1.0,2027.0,2.0,20160504.0,1146.0,-66.333,-169.9982,3308,285.6,1.445,34.711,2.0,34.7114,2.0,195.9,2.0,189.3,2.0,93.35,2.0,32.22,2.0,0.01,4.0,2.23,2.0,0.498,2.0,0.254,2.0,0.23,2.0,2257.4,2.0,2346.5,2.0,7.5826,2.0,25.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.4307,,19.8052,3.0,['P15S'],2016-04-26,2016-06-22,Bonnie
46,2.0,26.0,47,096U20160426,       P15S,1.0,2026.0,2.0,20160504.0,1146.0,-66.333,-169.9982,3308,335.5,1.427,34.717,2.0,34.7177,2.0,197.1,2.0,190.4,2.0,94.66,2.0,32.09,2.0,0.0,4.0,2.22,2.0,0.435,2.0,0.228,2.0,0.185,2.0,2257.2,2.0,2347.7,2.0,7.5815,2.0,25.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,9.0,,9.0,,9.0,1.4102,,21.2944,3.0,['P15S'],2016-04-26,2016-06-22,Bonnie
